CZ_NAME,event_count_2000_2005,event_count_2019_2024,rate_change_percent
TATTNALL,7.0,4.0,-42.857142857142854
TAYLOR,3.0,0.0,-100.0
TELFAIR,4.0,3.0,-25.0
TERRELL,1.0,4.0,300.0
THOMAS,2.0,35.0,1650.0
TIFT,0.0,13.0,
TOOMBS,3.0,1.0,-66.66666666666666
TOWNS,3.0,0.0,-100.0
TREUTLEN,2.0,0.0,-100.0
TROUP,6.0,7.0,16.666666666666664
TURNER,0.0,30.0,
TWIGGS,1.0,1.0,0.0
UNION,5.0,19.0,280.0
UPSON,16.0,13.0,-18.75
WALKER,5.0,4.0,-20.0
WALTON,7.0,15.0,114.28571428571428
WARE,2.0,1.0,-50.0
WASHINGTON,0.0,5.0,
WAYNE,4.0,4.0,0.0
WEBSTER,3.0,0.0,-100.0
WHEELER,1.0,0.0,-100.0
WHITE,5.0,29.0,480.0
WHITFIELD,8.0,19.0,137.5
WILCOX,3.0,3.0,0.0
WILKES,3.0,2.0,-33.33333333333333
WILKINSON,1.0,1.0,0.0
WORTH,1.0,34.0,3300.0
